recipe_name,prep(mins),cooking(mins),food type,Calories(kcal),Carbohydrates(g),Protein(g),Fat(g),Saturated Fat(g),Polyunsaturated Fat(g),Sodium(mg),Potassium(mg),Fiber(g),Sugar(g),Vitamin A(IU),Vitamin C(mg),Calcium(mg),Iron(mg),Serving(per g Calories),Cholesterol(mg),Trans Fat(g),source,Cluster
Garlic Mushroom,5.0,15.0,Appetizer,154.25,6.5,2.5,12.25,6.0,0.75,157.0,259.75,1.25,2.5,291.25,5.25,21.75,0.5,,0.0,0.0,Panlasang Pinoy,0
Stir Fried Chicken Franks,5.0,10.0,Appetizer,73.5,5.5,2.5,4.75,1.25,0.75,199.25,49.5,0.125,0.75,11.75,0.75,8.0,0.5,,0.0,0.0,Panlasang Pinoy,0
Asian Chicken Lettuce Wrap,5.0,15.0,Appetizer,34.75,2.5,4.75,0.5,0.125,0.25,117.5,92.5,0.75,1.0,576.5,2.5,12.0,0.5,,0.0,0.0,Panlasang Pinoy,0
Loaded Nachos Recipe,5.0,15.0,Appetizer,182.25,17.0,5.0,10.75,2.75,3.0,403.5,127.5,1.5,1.0,158.25,5.25,72.0,0.75,,0.0,0.0,Panlasang Pinoy,0
Betamax Recipe,30.0,10.0,Appetizer,88.0,1.5,8.5,5.0,1.0,1.0,390.75,132.75,0.25,0.5,5034.25,10.5,9.25,4.25,,0.0,0.0,Panlasang Pinoy,0
Coconut Shrimp,10.0,7.0,Appetizer,225.5,20.5,2.75,15.0,3.75,3.5,111.0,86.0,1.25,8.75,34.75,0.5,37.75,1.0,,0.0,0.0,Panlasang Pinoy,0
Original Buffalo Wings,,29.0,Appetizer,132.5,0.25,0.0,11.25,4.75,1.5,337.0,65.0,0.0,0.25,205.75,0.25,6.25,0.5,,0.0,0.0,Panlasang Pinoy,0
Vegetable Okoy,10.0,,Appetizer,186.5,12.0,2.0,14.5,1.25,4.0,198.25,116.0,0.75,0.75,853.5,27.0,60.25,0.5,,0.0,0.0,Panlasang Pinoy,0
Cheesy Onion Rings,15.0,7.0,Appetizer,347.0,10.75,5.25,32.0,4.25,8.0,294.0,75.0,0.5,1.25,41.75,0.5,49.25,0.75,,0.0,0.0,Panlasang Pinoy,0
Filipino Chicken Macaroni Salad Recipe,10.0,35.0,Appetizer,0.0,18.75,6.25,9.0,1.75,0.0,348.0,167.75,1.0,3.75,771.25,5.325,47.75,0.475,8.0,14.5,0.0,Panlasang Pinoy,0
Pork Siomai,15.0,20.0,Appetizer,143.5,2.5,8.5,10.75,3.75,1.25,40.75,180.75,0.5,0.75,928.75,2.75,14.5,0.5,,0.0,0.0,Panlasang Pinoy,0
Longanisa Lumpiang Shanghai,15.0,12.0,Appetizer,112.5,4.25,5.25,8.25,2.5,0.0,229.5,118.25,0.5,2.75,473.75,2.25,9.75,0.5,,27.5,0.0,Panlasang Pinoy,0
Eggplant Meatballs Talong Bola Bola Recipe,10.0,15.0,Appetizer,588.5,40.0,14.5,40.75,8.0,0.0,1388.25,298.25,2.25,6.25,154.5,3.0,66.5,2.75,,83.25,0.0,Panlasang Pinoy,0
