recipe_name,prep,cooking,food type,Calories, Carbohydrates, Protein, Fat, Saturated Fat, Polyunsaturated Fat, Sodium, Potassium, Fiber, Sugar, Vitamin A, Vitamin C, Calcium, Iron,Serving, Cholesterol, Trans Fat,url,ingredients,tokenized_ingredients,cleaned_tokenized_ingredients
Garlic Mushroom,"5
minutes","15
minutes",Appetizer, 617kcal (31%, 26g (9%, 10g (20%, 49g (75%, 24g (120%, 3g Monounsaturated Fat, 628mg (26%, 1039mg (30%, 5g (20%, 10g (11%, 1165IU (23%, 21mg (25%, 87mg (9%, 2mg (11%,,,,https://panlasangpinoy.com/garlic-mushroom/,"▢
8 ounces mushrooms
▢
1 teaspoon Knorr Liquid Seasoning
▢
5 cloves garlic
▢
1 teaspoon thyme
▢
2 teaspoons parsley chopped
▢
3 ounces dry white wine
▢
3 tablespoons butter
▢
1 tablespoon olive oil
▢
1 onion minced
▢
Salt and ground black pepper to taste","[[], ['8', 'ounces', 'mushrooms'], [], ['1', 'teaspoon', 'Knorr', 'Liquid', 'Seasoning'], [], ['5', 'cloves', 'garlic'], [], ['1', 'teaspoon', 'thyme'], [], ['2', 'teaspoons', 'parsley', 'chopped'], [], ['3', 'ounces', 'dry', 'white', 'wine'], [], ['3', 'tablespoons', 'butter'], [], ['1', 'tablespoon', 'olive', 'oil'], [], ['1', 'onion', 'minced'], [], ['Salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']]","['mushrooms', 'knorr', 'liquid', 'seasoning', 'garlic', 'thyme', 'parsley', 'dry', 'white', 'wine', 'butter', 'olive', 'oil', 'onion', 'salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']"
Stir Fried Chicken Franks,"5
minutes","10
minutes",Appetizer, 294kcal (15%, 22g (7%, 10g (20%, 19g (29%, 5g (25%, 3g Monounsaturated Fat, 797mg (33%, 198mg (6%, 0.5g (2%, 3g (3%, 47IU (1%, 3mg (4%, 32mg (3%, 2mg (11%,,,,https://panlasangpinoy.com/stir-fried-chicken-franks/,"▢
10 CDO Chicken Franks sliced in half
▢
3 cloves garlic minced
▢
1 onion sliced into rings
▢
3 tablespoons banana ketchup
▢
1 tablespoon oyster sauce
▢
2 tablespoons cooking oil
▢
Salt and ground black pepper to taste","[[], ['10', 'CDO', 'Chicken', 'Franks', 'sliced', 'in', 'half'], [], ['3', 'cloves', 'garlic', 'minced'], [], ['1', 'onion', 'sliced', 'into', 'rings'], [], ['3', 'tablespoons', 'banana', 'ketchup'], [], ['1', 'tablespoon', 'oyster', 'sauce'], [], ['2', 'tablespoons', 'cooking', 'oil'], [], ['Salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']]","['cdo', 'chicken', 'franks', 'in', 'garlic', 'onion', 'into', 'rings', 'banana', 'ketchup', 'oyster', 'sauce', 'cooking', 'oil', 'salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']"
Asian Chicken Lettuce Wrap,"5
minutes","15
minutes",Appetizer, 139kcal (7%, 10g (3%, 19g (38%, 2g (3%, 0.5g (3%, 1g Monounsaturated Fat, 470mg (20%, 370mg (11%, 3g (12%, 4g (4%, 2306IU (46%, 10mg (12%, 48mg (5%, 2mg (11%,,,,https://panlasangpinoy.com/asian-chicken-lettuce-wrap/,"▢
1 head lettuce
▢
450 grams CDO Homestyle Chicken Flakes in Oil
▢
½ cup green onion chopped
▢
1 onion minced
▢
¼ cup carrot minced
▢
1 cup jicama diced (singkamas)
▢
2 teaspoons soy sauce
▢
½ teaspoon white vinegar
▢
1 ½ teaspoon sesame oil
▢
2 ½ tablespoons hoisin sauce
▢
Salt and ground black pepper to taste","[[], ['1', 'head', 'lettuce'], [], ['450', 'grams', 'CDO', 'Homestyle', 'Chicken', 'Flakes', 'in', 'Oil'], [], ['½', 'cup', 'green', 'onion', 'chopped'], [], ['1', 'onion', 'minced'], [], ['¼', 'cup', 'carrot', 'minced'], [], ['1', 'cup', 'jicama', 'diced', 'singkamas'], [], ['2', 'teaspoons', 'soy', 'sauce'], [], ['½', 'teaspoon', 'white', 'vinegar'], [], ['1', '½', 'teaspoon', 'sesame', 'oil'], [], ['2', '½', 'tablespoons', 'hoisin', 'sauce'], [], ['Salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']]","['head', 'lettuce', 'cdo', 'homestyle', 'chicken', 'flakes', 'in', 'oil', 'green', 'onion', 'onion', 'carrot', 'jicama', 'singkamas', 'soy', 'sauce', 'white', 'vinegar', 'sesame', 'oil', 'hoisin', 'sauce', 'salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']"
Loaded Nachos Recipe,"5
minutes","15
minutes",Appetizer, 729kcal (36%, 68g (23%, 20g (40%, 43g (66%, 11g (55%, 12g Monounsaturated Fat, 1614mg (67%, 510mg (15%, 6g (24%, 4g (4%, 633IU (13%, 21mg (25%, 288mg (29%, 3mg (17%,,,,https://panlasangpinoy.com/loaded-nachos-with-corned-beef/,"▢
260 grams CDO Home Style Corned Beef in Pasta Sauce
▢
16 oz. tortilla chips
▢
1 onion chopped
▢
1 ½ teaspoons taco seasoning
▢
2 tablespoons cooking oil","[[], ['260', 'grams', 'CDO', 'Home', 'Style', 'Corned', 'Beef', 'in', 'Pasta', 'Sauce'], [], ['16', 'oz', 'tortilla', 'chips'], [], ['1', 'onion', 'chopped'], [], ['1', '½', 'teaspoons', 'taco', 'seasoning'], [], ['2', 'tablespoons', 'cooking', 'oil']]","['cdo', 'home', 'style', 'corned', 'beef', 'in', 'pasta', 'sauce', 'tortilla', 'chips', 'onion', 'taco', 'seasoning', 'cooking', 'oil']"
Betamax Recipe,"30
minutes","10
minutes",Appetizer, 352kcal (18%, 6g (2%, 34g (68%, 20g (31%, 4g (20%, 4g Monounsaturated Fat, 1563mg (65%, 531mg (15%, 1g (4%, 2g (2%, 20137IU (403%, 42mg (51%, 37mg (4%, 17mg (94%,,,,https://panlasangpinoy.com/betamax-recipe/,"▢
2 lbs. coagulated chicken blood
▢
1 Knorr Chicken cube
▢
1 teaspoon garlic powder
▢
¼ teaspoon ground black pepper
▢
1/4 cup soy sauce
▢
1/4 cup white vinegar
▢
3/4 cup water
▢
¼ cup garlic oil","[[], ['2', 'lbs', 'coagulated', 'chicken', 'blood'], [], ['1', 'Knorr', 'Chicken', 'cube'], [], ['1', 'teaspoon', 'garlic', 'powder'], [], ['¼', 'teaspoon', 'ground', 'black', 'pepper'], [], ['14', 'cup', 'soy', 'sauce'], [], ['14', 'cup', 'white', 'vinegar'], [], ['34', 'cup', 'water'], [], ['¼', 'cup', 'garlic', 'oil']]","['coagulated', 'chicken', 'blood', 'knorr', 'chicken', 'cube', 'garlic', 'powder', 'ground', 'black', 'pepper', 'soy', 'sauce', 'white', 'vinegar', 'water', 'garlic', 'oil']"
Coconut Shrimp,"10
minutes","7
minutes",Appetizer, 902kcal (45%, 82g (27%, 11g (22%, 60g (92%, 15g (75%, 14g Monounsaturated Fat, 444mg (19%, 344mg (10%, 5g (20%, 35g (39%, 139IU (3%, 2mg (2%, 151mg (15%, 4mg (22%,,,,https://panlasangpinoy.com/coconut-shrimp/,"▢
1 lb. large shrimp cleaned and shell removed
▢
1 cup bread crumbs
▢
1 cup sweetened desiccated coconut
▢
Salt and ground black pepper to taste
▢
½ cup all-purpose flour
▢
1 cup cooking oil","[[], ['1', 'lb', 'large', 'shrimp', 'cleaned', 'and', 'shell', 'removed'], [], ['1', 'cup', 'bread', 'crumbs'], [], ['1', 'cup', 'sweetened', 'desiccated', 'coconut'], [], ['Salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste'], [], ['½', 'cup', 'allpurpose', 'flour'], [], ['1', 'cup', 'cooking', 'oil']]","['shrimp', 'cleaned', 'and', 'shell', 'removed', 'bread', 'crumbs', 'sweetened', 'desiccated', 'coconut', 'salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste', 'all', 'purpose', 'flour', 'cooking', 'oil']"
Original Buffalo Wings,,"29
minutes",Appetizer, 530kcal (27%, 1g Protein,, 45g (69%, 19g (95%, 6g Monounsaturated Fat, 1348mg (56%, 260mg (7%,, 1g (1%, 823IU (16%, 1mg (1%, 25mg (3%, 2mg (11%,,,,https://panlasangpinoy.com/original-buffalo-chicken-wings/,"▢
2 lbs chicken wings
▢
5 Tablespoons unsalted butter
▢
1/2 cup Frank's RedHot sauce","[[], ['2', 'lbs', 'chicken', 'wings'], [], ['5', 'Tablespoons', 'unsalted', 'butter'], [], ['12', 'cup', 'Franks', 'RedHot', 'sauce']]","['chicken', 'wings', 'unsalted', 'butter', 'frank', 's', 'redhot', 'sauce']"
Vegetable Okoy,"10
minutes",,Appetizer, 746kcal (37%, 48g (16%, 8g (16%, 58g (89%, 5g (25%, 16g Monounsaturated Fat, 793mg (33%, 464mg (13%, 3g (12%, 3g (3%, 3414IU (68%, 108mg (131%, 241mg (24%, 2mg (11%,,,,https://panlasangpinoy.com/vegetable-okoy/,"▢
8 ounces kalabasa
▢
1 piece carrot
▢
½ piece onion
▢
3/4 cup malunggay leaves
▢
1 cup cooking oil","[[], ['8', 'ounces', 'kalabasa'], [], ['1', 'piece', 'carrot'], [], ['½', 'piece', 'onion'], [], ['34', 'cup', 'malunggay', 'leaves'], [], ['1', 'cup', 'cooking', 'oil']]","['kalabasa', 'carrot', 'onion', 'malunggay', 'leaves', 'cooking', 'oil']"
Cheesy Onion Rings,"15
minutes","7
minutes",Appetizer, 1388kcal (69%, 43g (14%, 21g (42%, 128g (197%, 17g (85%, 32g Monounsaturated Fat, 1176mg (49%, 300mg (9%, 2g (8%, 5g (6%, 167IU (3%, 2mg (2%, 197mg (20%, 3mg (17%,,,,https://panlasangpinoy.com/cheesy-onion-rings/,"▢
1 piece onion large sliced into thick rings
▢
8 Mozzarella cheese sticks
▢
1 cup milk
▢
1 egg beaten
▢
1 cup Panko bread crumbs
▢
2 cups cooking oil","[[], ['1', 'piece', 'onion', 'large', 'sliced', 'into', 'thick', 'rings'], [], ['8', 'Mozzarella', 'cheese', 'sticks'], [], ['1', 'cup', 'milk'], [], ['1', 'egg', 'beaten'], [], ['1', 'cup', 'Panko', 'bread', 'crumbs'], [], ['2', 'cups', 'cooking', 'oil']]","['onion', 'into', 'thick', 'rings', 'mozzarella', 'cheese', 'sticks', 'milk', 'egg', 'panko', 'bread', 'crumbs', 'cooking', 'oil']"
Filipino Chicken Macaroni Salad Recipe,"10
minutes","35
minutes",Appetizer,, 75g (25%, 25g (50%, 36g (55%, 7g (35%,, 1392mg (58%, 671mg (19%, 4g (16%, 15g (17%, 3085IU (62%, 21.3mg (26%, 191mg (19%, 1.9mg (11%, 8g Calories, 58mg (19%,,https://panlasangpinoy.com/filipino-chicken-macaroni-salad-recipe/,"▢
1 lb. boneless chicken breast
▢
1 lb elbow macaroni
▢
1 1/2 cups Lady’s Choice Mayonnaise
▢
1 can pineapple chunks 20 oz
▢
1 1/2 cups shredded cheddar cheese
▢
1 bottle pimiento 6.5 oz chopped
▢
1 cup carrot chopped
▢
1 piece green bell pepper chopped
▢
1 cup raisins
▢
1/4 cup sweet relish
▢
1/2 teaspoon garlic powder
▢
3 teaspoons salt this will be used when boiling chicken and macaroni, and as a seasoning
▢
1/4 teaspoon ground black pepper
▢
Water for boiling","[[], ['1', 'lb', 'boneless', 'chicken', 'breast'], [], ['1', 'lb', 'elbow', 'macaroni'], [], ['1', '12', 'cups', 'Ladys', 'Choice', 'Mayonnaise'], [], ['1', 'can', 'pineapple', 'chunks', '20', 'oz'], [], ['1', '12', 'cups', 'shredded', 'cheddar', 'cheese'], [], ['1', 'bottle', 'pimiento', '65', 'oz', 'chopped'], [], ['1', 'cup', 'carrot', 'chopped'], [], ['1', 'piece', 'green', 'bell', 'pepper', 'chopped'], [], ['1', 'cup', 'raisins'], [], ['14', 'cup', 'sweet', 'relish'], [], ['12', 'teaspoon', 'garlic', 'powder'], [], ['3', 'teaspoons', 'salt', 'this', 'will', 'be', 'used', 'when', 'boiling', 'chicken', 'and', 'macaroni', 'and', 'as', 'a', 'seasoning'], [], ['14', 'teaspoon', 'ground', 'black', 'pepper'], [], ['Water', 'for', 'boiling']]","['boneless', 'chicken', 'breast', 'elbow', 'macaroni', 'lady', 's', 'choice', 'mayonnaise', 'pineapple', 'chunks', 'cheddar', 'cheese', 'pimiento', 'carrot', 'green', 'bell', 'pepper', 'raisins', 'sweet', 'relish', 'garlic', 'powder', 'salt', 'this', 'will', 'be', 'used', 'when', 'boiling', 'chicken', 'and', 'macaroni', 'and', 'as', 'a', 'seasoning', 'ground', 'black', 'pepper', 'water', 'for', 'boiling']"
